year,road_section,traffic_period,weather_station_id,temperature_bin,temperature_bin_lower_c,estimated_vehicle_km,injury_accidents
2007,1-e2,VHDU,1481,12-15,12.0,44143.50591100729,0
2007,1-e2,VHDU,1481,>=15,15.0,12407.90436417502,0
2007,1-f3,SDU,1479,-6--3,-6.0,5057.638333333333,0
2007,1-f3,SDU,1479,-3-0,-3.0,52262.26277777778,0
2007,1-f3,SDU,1479,0-3,0.0,276484.2288888889,0
2007,1-f3,SDU,1479,3-6,3.0,977810.0777777778,0
2007,1-f3,SDU,1479,6-9,6.0,2337471.8497222224,1
2007,1-f3,SDU,1479,9-12,9.0,6216680.451388889,0
2007,1-f3,SDU,1479,12-15,12.0,3994691.343611111,0
2007,1-f3,SDU,1479,>=15,15.0,948307.1875,0
2007,1-f3,VDU,1479,<-6,-inf,820312.53,0
2007,1-f3,VDU,1479,-6--3,-6.0,1503678.06,0
2007,1-f3,VDU,1479,-3-0,-3.0,2039825.5650000002,0
2007,1-f3,VDU,1479,0-3,0.0,3612661.8600000003,1
2007,1-f3,VDU,1479,3-6,3.0,3001878.24,0
2007,1-f3,VDU,1479,6-9,6.0,788814.7200000001,0
2007,1-f3,VDU,1479,9-12,9.0,163651.665,0
2007,1-f4,SDU,1479,-6--3,-6.0,1040.1270833333335,0
2007,1-f4,SDU,1479,-3-0,-3.0,10747.979861111113,0
2007,1-f4,SDU,1479,0-3,0.0,56860.28055555557,0
2007,1-f4,SDU,1479,3-6,3.0,201091.23611111115,0
2007,1-f4,SDU,1479,6-9,6.0,480712.06701388897,0
2007,1-f4,SDU,1479,9-12,9.0,1278489.5399305557,0
2007,1-f4,SDU,1479,12-15,12.0,821527.0413194445,0
2007,1-f4,SDU,1479,>=15,15.0,195023.82812500003,1
2007,1-f5,SDU,31579,-3-0,-3.0,26778.77222222223,0
2007,1-f5,SDU,31579,0-3,0.0,187451.40555555557,0
2007,1-f5,SDU,31579,3-6,3.0,755926.4844444445,0
2007,1-f5,SDU,31579,6-9,6.0,2301444.1955555556,2
2007,1-f5,SDU,31579,9-12,9.0,6003800.732222223,1
2007,1-f5,SDU,31579,12-15,12.0,3361118.4677777784,1
2007,1-f5,SDU,31579,>=15,15.0,804893.3822222223,0
2007,1-f5,VDU,31579,<-6,-inf,341196.651138833,0
2007,1-f5,VDU,31579,-6--3,-6.0,958486.9712354125,0
2007,1-f5,VDU,31579,-3-0,-3.0,1660363.647742455,1
2007,1-f5,VDU,31579,0-3,0.0,2476289.3441287726,1
2007,1-f5,VDU,31579,3-6,3.0,2067613.6895613684,0
2007,1-f5,VDU,31579,6-9,6.0,698550.2467605635,0
2007,1-f5,VDU,31579,9-12,9.0,63677.36943259558,0
2007,1-f5,VHDU,31579,<-6,-inf,32614.660177899415,0
2007,1-f5,VHDU,31579,-6--3,-6.0,161294.31942524802,0
2007,1-f5,VHDU,31579,-3-0,-3.0,673047.9873075606,0
2007,1-f5,VHDU,31579,0-3,0.0,2149009.6088128635,0
2007,1-f5,VHDU,31579,3-6,3.0,3170737.9631132395,0
2007,1-f5,VHDU,31579,6-9,6.0,2801302.812370851,1
2007,1-f5,VHDU,31579,9-12,9.0,1199033.5069038658,0
2007,1-f5,VHDU,31579,12-15,12.0,174340.1834964078,0
2007,1-f5,VHDU,31579,>=15,15.0,38544.598392062944,0
2007,1-f6,VDU,1578,<-6,-inf,51351.032702182674,0
2007,1-f6,VDU,1578,-6--3,-6.0,251882.43778004934,0
2007,1-f6,VDU,1578,-3-0,-3.0,346838.1186891949,2
2007,1-f6,VDU,1578,0-3,0.0,551992.3661271121,1
2007,1-f6,VDU,1578,3-6,3.0,631955.0447874451,0
2007,1-f6,VDU,1578,6-9,6.0,215274.52395586556,0
2007,1-f6,VDU,1578,9-12,9.0,28611.645958150442,0
2007,1-f7,SDU,1578,-3-0,-3.0,1522.1341666666667,0
2007,1-f7,SDU,1578,0-3,0.0,10424.312777777777,0
2007,1-f7,SDU,1578,3-6,3.0,41927.8775,0
2007,1-f7,SDU,1578,6-9,6.0,137176.57611111112,0
2007,1-f7,SDU,1578,9-12,9.0,356179.39499999996,0
2007,1-f7,SDU,1578,12-15,12.0,208163.37861111114,1
2007,1-f7,SDU,1578,>=15,15.0,54935.20583333333,0
2007,1-f8,SDU,1578,-3-0,-3.0,9327.119999999999,0
2007,1-f8,SDU,1578,0-3,0.0,63876.63999999999,0
2007,1-f8,SDU,1578,3-6,3.0,256919.75999999998,0
2007,1-f8,SDU,1578,6-9,6.0,840571.3599999999,0
2007,1-f8,SDU,1578,9-12,9.0,2182546.0799999996,0
2007,1-f8,SDU,1578,12-15,12.0,1275554.32,2
2007,1-f8,SDU,1578,>=15,15.0,336624.24,0
2007,1-g1,SDU,1578,-3-0,-3.0,13550.922916666665,0
2007,1-g1,SDU,1578,0-3,0.0,92803.29027777778,0
2007,1-g1,SDU,1578,3-6,3.0,373266.33125,0
2007,1-g1,SDU,1578,6-9,6.0,1221225.598611111,1
2007,1-g1,SDU,1578,9-12,9.0,3170915.9624999994,0
2007,1-g1,SDU,1578,12-15,12.0,1853191.367361111,1
2007,1-g1,SDU,1578,>=15,15.0,489065.1270833333,0
2007,1-g1,VDU,1578,<-6,-inf,99194.52131862183,0
2007,1-g1,VDU,1578,-6--3,-6.0,486559.9877818531,0
2007,1-g1,VDU,1578,-3-0,-3.0,669985.3800012025,2
2007,1-g1,VDU,1578,0-3,0.0,1066280.7668751124,0
2007,1-g1,VDU,1578,3-6,3.0,1220744.2550598278,0
2007,1-g1,VDU,1578,6-9,6.0,415844.67209728813,0
2007,1-g1,VDU,1578,9-12,9.0,55268.966866093426,0
2007,1-g3,VDU,1673,<-6,-inf,166229.14250000002,0
2007,1-g3,VDU,1673,-6--3,-6.0,529593.2441666666,1
2007,1-g3,VDU,1673,-3-0,-3.0,723858.3775000001,0
2007,1-g3,VDU,1673,0-3,0.0,1099364.05,0
2007,1-g3,VDU,1673,3-6,3.0,988323.8658333332,0
2007,1-g3,VDU,1673,6-9,6.0,298682.6425,0
2007,1-g3,VDU,1673,9-12,9.0,40398.317500000005,0
2007,1-g3,VHDU,1673,<-6,-inf,7996.876782786885,0
2007,1-g3,VHDU,1673,-6--3,-6.0,106032.6625273224,0
2007,1-g3,VHDU,1673,-3-0,-3.0,393624.04608606553,0
2007,1-g3,VHDU,1673,0-3,0.0,1076912.7400819673,0
2007,1-g3,VHDU,1673,3-6,3.0,1616257.651987705,2
2007,1-g3,VHDU,1673,6-9,6.0,1231815.205170765,0
2007,1-g3,VHDU,1673,9-12,9.0,590584.1594398908,0
2007,1-g3,VHDU,1673,12-15,12.0,151644.47825136612,0
2007,1-g3,VHDU,1673,>=15,15.0,28433.339672131147,0
2007,1-g4,VHDU,31674,<-6,-inf,412.92102008215426,0
2007,1-g4,VHDU,31674,-6--3,-6.0,71435.33647421269,0
2007,1-g4,VHDU,31674,-3-0,-3.0,236397.2839970333,0
2007,1-g4,VHDU,31674,0-3,0.0,730663.745035372,0
2007,1-g4,VHDU,31674,3-6,3.0,1138836.1733865812,0
