station,name,lat,lon,start,ending
105,Hvanneyri,64.5622024536,-21.7649002075,1963,1998.0
108,Stafholtsey,64.6419296265,-21.5907497406,1988,2017.0
110,Fitjar,64.4670028687,-21.2999992371,1979,1981.0
117,Augastaðir,64.6719818115,-21.0272693634,1994,
120,Kalmanstunga,64.733001709,-20.7999992371,1956,1992.0
126,Síðumúli,64.7107009888,-21.371099472,1934,1986.0
130,Hamraendar í Stafholtstungum,64.6669998169,-21.6170005798,1986,1988.0
132,Brekka,64.7809677124,-21.5191307068,1969,
136,Fornihvammur,64.9000015259,-21.2000007629,1966,1977.0
142,Borgarnes,64.5500030518,-21.9169998169,1982,1988.0
145,Þverholt,64.5830001831,-22.1499996185,1966,1985.0
146,Álftárós,64.5830001831,-22.25,1967,1973.0
149,Hítardalur,64.8015670776,-22.0482292175,1995,
155,Haukatunga,64.8162231445,-22.2555942535,1943,1989.0
163,Hjarðarfell,64.8749694824,-22.7410793304,1970,
164,Neðri-Hóll,64.8000030518,-23.033000946,1994,1997.0
165,Garðar,64.8138504028,-23.1399173737,1989,1994.0
166,Böðvarsholt,64.8330001831,-23.3500003815,1991,2000.0
167,Bláfeldur,64.839302063,-23.3003501892,1997,2023.0
168,Arnarstapi,64.766998291,-23.6329994202,1931,1982.0
170,Gufuskálar,64.9022445679,-23.9319133759,1970,1994.0
171,Hellissandur,64.9169998169,-23.8829994202,1934,1970.0
172,Jökulháls,64.8000030518,-23.7000007629,1932,1933.0
173,Ólafsvík,64.9000015259,-23.716999054,1990,1990.0
175,Grundarfjörður,64.9169998169,-23.2329998016,1991,1996.0
176,Kverná,64.91847229,-23.2351703644,2000,2003.0
177,Setberg,64.9569168091,-23.207950592,2000,2016.0
178,Stykkishólmur,65.0740280151,-22.7338790894,1845,
187,Kvennabrekka,65.0294723511,-21.646320343,2008,
188,Hamraendar,65.0104293823,-21.6905441284,1936,1999.0
189,Stóra-Vatnshorn,65.0583267212,-21.5489196777,2000,2003.0
191,Hróðnýjarstaðir,65.1669998169,-21.6499996185,1937,1937.0
192,Búðardalur,65.0999984741,-21.783000946,1960,1992.0
194,Ljárskógar,65.1669998169,-21.7000007629,1937,1938.0
195,Ásgarður,65.2296981812,-21.7542705536,1992,
196,Hvammur í Dölum,65.2170028687,-21.7670001984,1852,1878.0
197,Ballará,65.2308197021,-22.4634990692,1997,2004.0
202,Máskelda,65.3830032349,-21.8829994202,1967,1993.0
203,Mýrartunga II,65.516998291,-22.0170001984,1960,1967.0
204,Kleifar,65.4534225464,-21.6632995605,1992,1994.0
206,Reykhólar,65.4481201172,-22.1997509003,1948,2004.0
207,Höllustaðir,65.4499969482,-22.25,1924,1924.0
210,Flatey,65.3669967651,-22.9169998169,1941,1989.0
212,Brjánslækur,65.5250015259,-23.1942691803,1977,2025.0
220,Lambavatn,65.492980957,-24.0916309357,1922,
221,Hænuvík,65.6134490967,-24.1990795135,2005,
222,Hvallátur,65.5287017822,-24.4565906525,1947,1989.0
223,Breiðavík,65.5498504639,-24.3509807587,1989,2004.0
224,Kvígindisdalur,65.5561981201,-24.0111694336,1927,2004.0
225,Patreksfjörður,65.5999984741,-23.966999054,1983,1995.0
231,Mjólkárvirkjun,65.7749099731,-23.1663208008,1959,
234,Hólar í Dýrafirði,65.8669815063,-23.5618495941,1983,2024.0
237,Núpur í Dýrafirði,65.9329986572,-23.6000003815,1923,1927.0
239,Önundarfjörður,66.0500030518,-23.5,1882,1908.0
240,Þórustaðir,66.016998291,-23.466999054,1952,1999.0
241,Vaðlar,65.9893493652,-23.4369792938,1999,2012.0
244,Flateyri,66.0500030518,-23.5,1996,1997.0
247,Birkihlíð í Súgandafirði,66.0803222656,-23.368019104,1997,2022.0
248,Suðureyri,66.1330032349,-23.533000946,1921,1990.0
250,Galtarviti,66.1629638672,-23.570690155,1953,1994.0
252,Bolungarvík,66.1610031128,-23.253200531,1994,2018.0
253,Hnífsdalur,66.1084671021,-23.1231193542,1995,
254,Ísafjörður,66.0669403076,-23.124540329,1980,2023.0
256,Súðavík,66.0500030518,-23.0,1996,1999.0
258,Hrafnabjörg,65.9804000854,-22.6536808014,1995,2013.0
260,Æðey,66.0998764038,-22.6599502563,1946,2012.0
261,Ármúli,66.0500030518,-22.4500007629,1920,1920.0
265,Rauðamýri,65.9000015259,-22.3169994354,1977,1989.0
266,Múli,65.8170013428,-22.4500007629,1992,1992.0
280,Hesteyri í Jökulfjörðum,66.3330001831,-22.8829994202,1928,1937.0
281,Aðalvík á Hornströndum,66.4000015259,-23.033000946,1881,1883.0
284,Horn á Hornströndum,66.4499969482,-22.4500007629,1937,1946.0
285,Hornbjargsviti,66.4169998169,-22.3829994202,1946,1995.0
288,Reykjafjörður,66.25,-22.1000003815,1933,1933.0
290,Kjörvogur,65.983001709,-21.3500003815,1934,1971.0
291,Munaðarnes,66.0830001831,-21.5830001831,1995,2005.0
293,Litla-Ávík,66.0211715698,-21.4248409271,1995,
294,Grænhóll í Árneshreppi,65.983001709,-21.3500003815,1921,1934.0
295,Gjögur,65.987487793,-21.3521118164,1971,1995.0
296,Bassastaðir,65.763381958,-21.6840000153,2005,2022.0
297,Innri-Ós,65.73097229,-21.6874809265,1999,2004.0
298,Ytri-Ós,65.766998291,-21.7000007629,1992,1999.0
300,Steinadalur,65.5556030273,-21.5466003418,1995,2015.0
301,Kollsá í Hrútafirði,65.3499984741,-21.1830005646,1923,1936.0
303,Hlaðhamar,65.270149231,-21.1705493927,1940,
304,Hrútafjörður,65.2829971313,-21.2000007629,1883,1930.0
