variable,period,outcome,coarse_bin,bin_order,observed_accidents,expected_accidents,relative_accident_frequency,bootstrap_ci_95_low,bootstrap_ci_95_high,analysed_accidents,sparse_bin,bootstrap_stations,bootstrap_reps
fg,Autumn,All injury accidents (meiðsli ≤ 3),5-10,1,336,334.99228063736626,1.0030081868176677,0.919529475912697,1.087227674450414,1096,False,184,5000
fg,Autumn,All injury accidents (meiðsli ≤ 3),10-15,2,185,215.60626697152227,0.8580455596146247,0.749201472873534,0.959987487750692,1096,False,184,5000
fg,Autumn,All injury accidents (meiðsli ≤ 3),15-20,3,95,101.36166124977542,0.9372379934253542,0.7556700954319053,1.1365165924650291,1096,False,184,5000
fg,Autumn,All injury accidents (meiðsli ≤ 3),20-25,4,44,36.414890889771286,1.208296906152733,0.8543344875956468,1.585826780089817,1096,False,184,5000
fg,Autumn,All injury accidents (meiðsli ≤ 3),25-30,5,14,11.257566701141794,1.2436079991051756,0.6142287314397673,1.9835513199572017,1096,True,184,5000
fg,Autumn,All injury accidents (meiðsli ≤ 3),30-35,6,11,2.9391646332500265,3.742560003464856,1.9317799341019748,5.752074263705834,1096,True,184,5000
fg,Autumn,All injury accidents (meiðsli ≤ 3),>=35,7,7,1.2019203923554074,5.824013008284248,1.7031692866056518,11.272685777520982,1096,True,184,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),0-5,0,84,75.6489156677522,1.1103926508203437,0.9312938053323612,1.2909615675140982,212,False,119,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),5-10,1,62,64.7019905323041,0.9582394527575616,0.7732665893010686,1.1408047253170497,212,False,119,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),10-15,2,33,42.05194377393536,0.7847437487646899,0.5542138236969542,1.0328598873607688,212,False,119,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),15-20,3,16,19.719997631989052,0.811359123798544,0.45710481247357,1.2433113767903954,212,True,119,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),20-25,4,6,6.966453686808008,0.8612703492685053,0.285968183203433,1.573308967015346,212,True,119,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),25-30,5,9,2.1373122937871667,4.21089609888157,1.809197500196716,7.20922108988732,212,True,119,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),30-35,6,1,0.5563125391342508,1.797550710534456,0.0,5.941513934926955,212,True,119,5000
fg,Autumn,Serious/fatal subset (meiðsli ≤ 2),>=35,7,1,0.2170738742898274,4.60672664212389,0.0,17.638922579780058,212,True,119,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),0-5,0,212,264.5452024450936,0.801375334122722,0.71811034307164,0.8863025955478333,790,False,185,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),5-10,1,305,289.29016161793686,1.054304779306014,0.948677701832286,1.1602395672042802,790,False,185,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),10-15,2,172,159.49770271991304,1.0783854379523052,0.9274821626053272,1.2385198544191438,790,False,185,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),15-20,3,62,55.814649596365456,1.1108194792651234,0.8441222609148437,1.3819426165337183,790,False,185,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),20-25,4,15,15.800538143376368,0.9493347545436636,0.4942929715396285,1.4354024297598251,790,True,185,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),25-30,5,11,3.8326980283395184,2.8700408742521386,1.4866920035127362,4.320675161907515,790,True,185,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),30-35,6,7,0.8945177406017178,7.825445692436787,2.379017072680931,14.455332568043008,790,True,185,5000
fg,Spring,All injury accidents (meiðsli ≤ 3),>=35,7,6,0.3245297083734479,18.488291965848585,4.1308924695753415,38.01132165344009,790,True,185,5000
fg,Spring,Serious/fatal subset (meiðsli ≤ 2),0-5,0,53,62.01777162000826,0.8545937497519028,0.6613209954557472,1.033620192011084,194,False,94,5000
fg,Spring,Serious/fatal subset (meiðsli ≤ 2),5-10,1,74,72.28955613501789,1.02366100936887,0.8428699148932634,1.2293442387638618,194,False,94,5000
fg,Spring,Serious/fatal subset (meiðsli ≤ 2),10-15,2,40,40.46052338914383,0.9886179576889162,0.734135191190908,1.2695585230444748,194,False,94,5000
fg,Spring,Serious/fatal subset (meiðsli ≤ 2),15-20,3,22,14.023342444091508,1.5688128623906863,0.9861382401561865,2.196200293273027,194,False,94,5000
fg,Spring,Serious/fatal subset (meiðsli ≤ 2),20-25,4,1,3.92383224159974,0.2548528934030833,0.0,0.8960550980589326,194,True,94,5000
fg,Spring,Serious/fatal subset (meiðsli ≤ 2),25-30,5,2,0.9605450808791328,2.082151103381335,0.0,5.526421423891428,194,True,94,5000
