coarse_bin,observed_accidents,expected_accidents,background_measurements,stations,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_median,bootstrap_standard_error,bootstrap_probability_above_1,bootstrap_reps,bootstrap_stations,relative_accident_frequency,variable,radius_km,severity_group,analysis_season,max_time_difference_minutes,bin_order
15-20,95,101.36166124977542,2220017,184,0.7556700954319053,1.1365165924650291,0.9359073150567028,0.09703763222528523,0.2516,5000,184,0.9372379934253542,fg,20,Injury accidents,Fall,5,3
20-25,44,36.414890889771286,853884,184,0.8543344875956468,1.585826780089817,1.2083225178558452,0.18655716184383533,0.8666,5000,184,1.2082969061527333,fg,20,Injury accidents,Fall,5,4
25-30,14,11.257566701141794,282199,183,0.6142287314397673,1.9835513199572017,1.22314526152458,0.3486170284765335,0.7526,5000,184,1.2436079991051756,fg,20,Injury accidents,Fall,5,5
30-35,11,2.9391646332500265,78490,177,1.9317799341019748,5.752074263705834,3.6986830738663894,0.9702976529886878,0.9988,5000,184,3.7425600034648556,fg,20,Injury accidents,Fall,5,6
>=35,7,1.2019203923554074,31998,154,1.7031692866056518,11.272685777520982,5.720233160770006,2.4315581814202325,0.989,5000,184,5.824013008284248,fg,20,Injury accidents,Fall,5,7
<-6,150,174.75541699258062,4509821,206,0.7209827757179048,1.0027742408679572,0.8567710309959893,0.0725760571707518,0.0282,5000,232,0.8583424913596147,temperature,10,Injury accidents,All seasons,5,0
-6--3,285,271.3171770367448,6527676,214,0.9256218208625842,1.1740796596123093,1.0505345235365433,0.06255268564147419,0.792,5000,232,1.0504310973330013,temperature,10,Injury accidents,All seasons,5,1
-3-0,590,498.31365098090845,11612905,227,1.0829412781794416,1.2876998595615061,1.1817518465757058,0.05232333418836236,1.0,5000,232,1.1839932517172889,temperature,10,Injury accidents,All seasons,5,2
0-3,795,716.9883213595095,16556211,232,1.0233860162180899,1.1932807292714611,1.1075073007163416,0.04410588216622782,0.9946,5000,232,1.1088046713125947,temperature,10,Injury accidents,All seasons,5,3
3-6,478,706.770750843535,17551700,232,0.6222741082463573,0.7358963435866176,0.6752919991407706,0.028702780986481748,0.0,5000,232,0.6763154805564665,temperature,10,Injury accidents,All seasons,5,4
6-9,569,679.5221487649385,18066828,232,0.7784037290729328,0.8966274547081614,0.8376879302207327,0.030401549576231056,0.0,5000,232,0.8373531326891738,temperature,10,Injury accidents,All seasons,5,5
9-12,525,539.7118961989424,13751749,231,0.901715999020274,1.048026099993711,0.9716258671419855,0.03746110279508229,0.2332,5000,232,0.9727412045156782,temperature,10,Injury accidents,All seasons,5,6
12-15,334,234.04901771507542,5722756,221,1.2804950849525996,1.587179620247074,1.4269473076520174,0.07800508422174614,1.0,5000,232,1.427051492292961,temperature,10,Injury accidents,All seasons,5,7
>=15,168,72.57162010776506,1846876,218,1.9746603781560477,2.6938908133514565,2.316901878853897,0.18575968870005158,1.0,5000,232,2.3149545201075683,temperature,10,Injury accidents,All seasons,5,8
<-6,205,255.99925440612682,5266138,230,0.6901415859237124,0.9174381072698404,0.8013555871648239,0.05677462796480648,0.0002,5000,252,0.8007835822630183,temperature,20,Injury accidents,All seasons,5,0
-6--3,412,391.89813933064966,7533726,238,0.9569957362317092,1.1450940521258293,1.050238026469147,0.04849730496046625,0.843,5000,252,1.0512935853782917,temperature,20,Injury accidents,All seasons,5,1
-3-0,839,715.2689802141695,13422948,248,1.089181989698643,1.2509025026749123,1.1708868283961298,0.04150176771668079,1.0,5000,252,1.1729853009266282,temperature,20,Injury accidents,All seasons,5,2
0-3,1131,1028.9728652030826,19149168,252,1.0230051935632813,1.175670839597652,1.0986758624795288,0.038995144235458995,0.9928,5000,252,1.099154349203155,temperature,20,Injury accidents,All seasons,5,3
3-6,710,1034.6424071185384,20293987,252,0.6414294892934045,0.7335781485717547,0.6864877183637166,0.023654720781070105,0.0,5000,252,0.6862274299942316,temperature,20,Injury accidents,All seasons,5,4
6-9,858,1012.7194324883192,20489584,251,0.7984605387796846,0.8985409139881253,0.8472720090542769,0.025945953370515713,0.0,5000,252,0.847223794147839,temperature,20,Injury accidents,All seasons,5,5
9-12,814,804.8941363229026,15349449,250,0.9487596123412406,1.0792137094476073,1.0122266403978932,0.03321299206170087,0.6406,5000,252,1.0113131196590608,temperature,20,Injury accidents,All seasons,5,6
12-15,495,350.8219941483373,6278717,245,1.2881340448656942,1.5415905210403595,1.409920734433438,0.06452257896945598,1.0,5000,252,1.4109719694219065,temperature,20,Injury accidents,All seasons,5,7
>=15,243,111.78279076787396,2014655,242,1.905613625500851,2.464996606411988,2.170196369000122,0.1432523184425358,1.0,5000,252,2.173858769590117,temperature,20,Injury accidents,All seasons,5,8
<-6,205,255.99925440612682,5266138,230,0.6892583842452057,0.9094849279830772,0.8015267357955793,0.05662260511283424,0.0008,5000,252,0.8007835822630183,temperature,30,Injury accidents,All seasons,5,0
